container,train,priority
K235RF17700,А965,47
K235RF17700,Р969,29
K235RF17700,Н963,9
K235RF17700,С961,41
K235RF17700,Р968,48
K235RF17700,В965,46
K235RF17700,Е968,38
K235RF17700,Р966,1
K235RF17700,А963,1
K235RF17700,Х964,3
K235RF17700,С964,14
K235RF17700,В961,13
K235RF17700,Н961,27
K235RF17700,М967,35
K235RF17700,Т962,11
K235RF17700,М968,25
K235RF17700,Е964,40
K235RF17700,Х961,23
K235RF17700,O967,34
K235RF17700,Р967,31
K235RF17700,Е965,42
K235RF17700,О965,22
K235RF17700,О963,19
K235RF17700,С969,49
K235RF17700,М966,12
K235RF17700,А967,26
K235RF17700,М962,43
K235RF17700,Н964,10
K235RF17700,Н967,33
K235RF17700,О966,17
K235RF17700,Т968,4
K235RF17700,О961,16
K235RF17700,М963,15
K235RF17700,В966,32
K235RF17700,М969,21
K235RF17700,Е962,6
K235RF17700,Р961,18
K235RF17700,К967,50
K235RF17700,Н962,30
K235RF17700,О962,39
K235RF17700,А961,28
K235RF17700,Р964,2
K235RF17700,К970,44
K235RF17700,А966,20
K235RF17700,Е970,37
K235RF17700,Е969,8
K235RF17700,Н966,36
K235RF17700,О970,5
K235RF17700,Н970,24
K235RF17700,K963,45
K493PL17700,А965,36
K493PL17700,Т961,28
K493PL17700,Р969,33
K493PL17700,Н963,44
K493PL17700,С961,27
K493PL17700,Р968,9
K493PL17700,В965,14
K493PL17700,Е968,30
K493PL17700,Р966,25
K493PL17700,А963,4
K493PL17700,Х964,1
K493PL17700,С964,48
K493PL17700,В961,34
K493PL17700,Н961,18
K493PL17700,М967,20
K493PL17700,Т962,43
K493PL17700,М968,17
K493PL17700,Е964,2
K493PL17700,Х961,15
K493PL17700,O967,32
K493PL17700,Р967,46
K493PL17700,Е965,22
K493PL17700,О965,37
K493PL17700,О963,3
K493PL17700,С969,19
K493PL17700,М966,41
K493PL17700,А967,26
K493PL17700,М962,39
K493PL17700,Н964,16
K493PL17700,Н967,10
K493PL17700,О966,50
K493PL17700,Т968,24
K493PL17700,О961,5
K493PL17700,М963,35
K493PL17700,В966,47
K493PL17700,М969,49
K493PL17700,Е962,40
K493PL17700,Р961,29
K493PL17700,К967,17
K493PL17700,Н962,21
K493PL17700,О962,45
K493PL17700,А961,42
K493PL17700,Р964,12
K493PL17700,К970,31
K493PL17700,А966,6
K493PL17700,Е970,23
K493PL17700,Е969,8
K493PL17700,Н966,11
K493PL17700,О970,1
K493PL17700,Н970,1
K493PL17700,K963,38
K278PL17700,А965,6
K278PL17700,Т961,12
K278PL17700,Р969,29
